epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,2660.9,0.32584,0.24004,0.8588,0.93751,0.96781,0.98302,0.80478,0.50539,0.29195,0.85706,0.000182666,0.000182666,0.000182666
152,2682.76,0.32662,0.23475,0.85538,0.93765,0.96773,0.98261,0.80214,0.51221,0.28996,0.85918,0.000180984,0.000180984,0.000180984
153,2704.57,0.33405,0.25176,0.86766,0.9389,0.96717,0.98261,0.79955,0.50216,0.29053,0.85629,0.000179302,0.000179302,0.000179302
154,2726.38,0.32148,0.23717,0.85859,0.93859,0.96767,0.98261,0.79982,0.50695,0.29414,0.85496,0.000177619,0.000177619,0.000177619
155,2748.41,0.34115,0.24249,0.85308,0.93824,0.9671,0.98031,0.79929,0.51058,0.29194,0.85436,0.000175937,0.000175937,0.000175937
156,2770.36,0.34809,0.24731,0.86761,0.9807,0.95426,0.98639,0.80357,0.51043,0.29347,0.85297,0.000174255,0.000174255,0.000174255
157,2792.24,0.33554,0.24709,0.86433,0.98014,0.95664,0.98519,0.80257,0.51027,0.29468,0.85196,0.000172573,0.000172573,0.000172573
158,2813.97,0.32644,0.24939,0.86013,0.98044,0.95599,0.98612,0.79917,0.51046,0.28923,0.85242,0.00017089,0.00017089,0.00017089
159,2836.12,0.3187,0.24195,0.85912,0.96847,0.95651,0.98759,0.80694,0.50442,0.28906,0.85117,0.000169208,0.000169208,0.000169208
160,2858.34,0.3405,0.25583,0.8579,0.97245,0.94811,0.98765,0.80108,0.50414,0.28934,0.85237,0.000167526,0.000167526,0.000167526
161,2880.4,0.33057,0.24454,0.85764,0.97203,0.94267,0.9877,0.79699,0.50686,0.28858,0.85462,0.000165844,0.000165844,0.000165844
162,2902.52,0.34002,0.24635,0.87059,0.97435,0.94458,0.98674,0.79527,0.50909,0.28989,0.85441,0.000164162,0.000164162,0.000164162
163,2924.63,0.33423,0.24887,0.85831,0.97166,0.94402,0.98636,0.80096,0.50974,0.29279,0.85487,0.000162479,0.000162479,0.000162479
164,2947.33,0.33774,0.25174,0.8633,0.96846,0.95205,0.9876,0.80513,0.5078,0.29119,0.85538,0.000160797,0.000160797,0.000160797
165,2969.7,0.33001,0.23699,0.86066,0.97623,0.95635,0.98753,0.80389,0.50617,0.28911,0.85538,0.000159115,0.000159115,0.000159115
166,2992.38,0.34454,0.24802,0.85211,0.97677,0.95994,0.98798,0.80082,0.50591,0.28921,0.85265,0.000157433,0.000157433,0.000157433
167,3014.96,0.31897,0.23896,0.85546,0.97555,0.95845,0.98839,0.8009,0.51153,0.29083,0.8529,0.00015575,0.00015575,0.00015575
168,3037.47,0.32531,0.23726,0.8547,0.97387,0.95705,0.9876,0.80403,0.50406,0.29193,0.85029,0.000154068,0.000154068,0.000154068
169,3060.27,0.33024,0.24509,0.85858,0.97087,0.957,0.9881,0.81455,0.50845,0.29238,0.85263,0.000152386,0.000152386,0.000152386
170,3082.92,0.3431,0.25187,0.86447,0.96656,0.96098,0.98798,0.80507,0.51565,0.29353,0.8542,0.000150704,0.000150704,0.000150704
171,3105.51,0.34274,0.262,0.85758,0.96194,0.96108,0.98798,0.80622,0.51232,0.29207,0.85388,0.000149021,0.000149021,0.000149021
172,3128.07,0.32075,0.22833,0.85768,0.95926,0.95608,0.98732,0.79729,0.52222,0.29229,0.85573,0.000147339,0.000147339,0.000147339
173,3150.61,0.35036,0.25415,0.8601,0.95355,0.95891,0.96619,0.78778,0.52399,0.29591,0.8557,0.000145657,0.000145657,0.000145657
174,3172.91,0.32861,0.25048,0.87326,0.94856,0.95878,0.96598,0.79264,0.5225,0.29621,0.85546,0.000143975,0.000143975,0.000143975
175,3195.5,0.3163,0.22958,0.85225,0.96024,0.96543,0.96684,0.79607,0.51655,0.29133,0.8547,0.000142293,0.000142293,0.000142293
